id,texto_usuario,tipo_inmueble,habitaciones,banos,parqueadero,estrato,operacion,ciudad,zona,precio_rango,amoblado,mascotas,balcon,terraza,areas_comunes
1,"Un dúplex cómodo de 1 habitación y un baño, en El Poblado, Medellín para arriendo, pet friendly, estrato 3",duplex,1,1,1,3,arriendo,Medellín,El Poblado,4M - 5M,0,1,0,0,
2,"Necesito un loft moderno una habitación estrato 2 en Barranquilla, para arriendo por 1.5M - 2M, que tenga balcón",loft,1,3,1,2,arriendo,Barranquilla,Villa Santos,1.5M - 2M,0,0,1,0,
3,"Necesito un loft una habitación estrato 4 en Bucaramanga, para venta por 4M - 5M, terraza amplia, presupuesto 4M - 5M, estrato 4",loft,1,1,2,4,venta,Bucaramanga,Cabecera,4M - 5M,0,0,0,1,
4,"Busco aparta estudio de una habitación en Centro, Bucaramanga, para arriendo, que acepte mascotas, que tenga balcón, terraza amplia, no requiere parqueadero, estrato 6",apartaestudio,1,2,0,6,arriendo,Bucaramanga,Centro,1M - 1.5M,0,1,1,1,salón social
5,"Busco apartamento en dos niveles de 4 habitaciones en Laureles, Medellín, para venta, amoblado, pet friendly, con balcón, terraza amplia, 1 parqueadero, presupuesto 4M - 5M",duplex,4,2,1,3,venta,Medellín,Laureles,4M - 5M,1,1,1,1,terraza
6,"Un ático con terraza cómodo de tres habitaciones y 3 baños en buen estado, en Granada, Cali para venta, semi amoblado, con balcón, sin parqueadero, presupuesto 1.5M - 2M",penthouse,3,3,0,2,venta,Cali,Granada,1.5M - 2M,1,0,1,0,"zona BBQ, terraza"
7,"Busco penthouse de 2 alcobas en Usaquén, Bogotá, para arriendo, semi amoblado, presupuesto más de 5M, estrato 5",penthouse,2,3,1,5,arriendo,Bogotá,Usaquén,más de 5M,1,0,0,0,
8,"Un penthouse cómodo de 2 habitaciones y 2 baños, en Laureles, Medellín para venta, semi amoblado, pet friendly, con balcón, con terraza, doble parqueadero, presupuesto 4M - 5M, estrato 6",penthouse,2,2,2,6,venta,Medellín,Laureles,4M - 5M,1,1,1,1,"balcón, terraza, salón social"
9,"Necesito un estudio una habitación estrato 6 en Cali, para arriendo por 2M - 3M, que tenga balcón, no requiere parqueadero, presupuesto 2M - 3M",estudio,1,2,0,6,arriendo,Cali,San Fernando,2M - 3M,0,0,1,0,"coworking, piscina, terraza"
10,"Busco dúplex de una alcoba en Laureles, Medellín, para arriendo, semi amoblado, con balcón",duplex,1,1,1,4,arriendo,Medellín,Laureles,1M - 1.5M,1,0,1,0,"piscina, terraza"
11,"Quiero arriendo un apto pequeño para una persona, en Barranquilla, idealmente en Alto Prado, de una alcoba y 2 baños, totalmente amoblado, con balcón, con terraza, un parqueadero privado, presupuesto 1M - 1.5M, estrato 5",apartaestudio,1,2,1,5,arriendo,Barranquilla,Alto Prado,1M - 1.5M,1,0,1,1,"gimnasio, piscina, zona BBQ"
12,"Un estudio cómodo de una habitación y 3 baños en buen estado, en Teusaquillo, Bogotá para arriendo, 1 parqueadero, estrato 6",estudio,1,3,1,6,arriendo,Bogotá,Teusaquillo,menos de 1M,0,0,0,0,"balcón, zona BBQ, terraza"
13,"Quiero arriendo un apartamento en dos niveles, en Cali, idealmente en Ciudad Jardín, de tres habitaciones y 1 baño, que tenga balcón, estrato 5",duplex,3,1,1,5,arriendo,Cali,Ciudad Jardín,1.5M - 2M,0,0,1,0,
14,"Necesito un apto pequeño para una persona 1 habitación estrato 4 en Bucaramanga, para arriendo por 4M - 5M, con balcón, presupuesto 4M - 5M",apartaestudio,1,2,2,4,arriendo,Bucaramanga,Cañaveral,4M - 5M,0,0,1,0,
15,"Busco apto para familia de cuatro habitaciones en Granada, Cali, para venta, semi amoblado, con balcón, no necesito parqueadero, presupuesto menos de 1M, estrato 2",apartamento,4,2,0,2,venta,Cali,Granada,menos de 1M,1,0,1,0,"zona BBQ, salón social, piscina"
16,"Busco apartaestudio de 1 habitación en Granada, Cali, para arriendo, con balcón, terraza amplia, presupuesto 4M - 5M",apartaestudio,1,1,1,4,arriendo,Cali,Granada,4M - 5M,0,0,1,1,terraza
